,Gross domestic product,,Agriculture,,Industry,,Manufacturing,,Services,
,,,,,,,,,,
,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),,average annual real growth (%),
,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024,2010-2020,2020-2024
Afghanistan,3.2,-8.5,2.9,-5,4.8,-5.8,5.7,-7,3.2,-12.2
Albania,2.3,5.2,2.1,-2.6,1.9,5.7,5.7,2.8,3,7.7
Algeria,2.3,3.8,4.2,3,1,4.1,4.6,6.5,3.5,4
American Samoa,-0.7,0.5,..,..,..,..,..,..,..,..
Andorra,0,5.9,0.7,1,-0.2,6.1,0,2.7,0.2,5.2
Angola,1.5,2.9,3.2,4.6,0.5,1.2,2.7,4.8,2.4,4.5
Antigua and Barbuda,1.5,5.8,2.2,2.5,5.5,5.1,2.8,1.7,0.6,7.8
Argentina,-0.4,3,0.6,-3.4,-1.8,3.1,-2.2,1.9,0.2,3.5
Armenia,3.8,8.6,1.8,-0.8,2.8,5.4,6.5,4.2,4.7,12.4
Aruba,1.2,9.8,-4,64.2,1.9,4.7,1,8,-0.8,11.7
Australia,2.5,3,-1,9.6,2.2,0.3,-0.9,1.1,2.8,3.9
Austria,1.1,2.2,0.3,1.1,1.2,0.9,2.1,2.3,1.1,2.9
Azerbaijan,1,3.7,4,2.9,-1.5,1.1,3.5,7.7,4.8,6.6
"Bahamas, The",-0.1,8.2,-5.7,4.7,-0.9,4.8,-5.7,-33,0.5,6.9
Bahrain,3.1,4.4,2.5,4.7,2.4,1.5,2.8,5.3,3.4,5.5
Bangladesh,6.6,6.1,3.3,3.2,9.4,8.2,9.6,9,6,5.7
Barbados,-1.1,6.3,2.5,-9.5,-0.6,2,-1.4,5.5,-1.2,7.1
Belarus,0.6,1.1,1.5,0.4,0.1,2.1,1,2.9,1.2,0.3
Belgium,1.1,3.1,0.8,1.9,0.3,2.2,0.6,2.5,1.4,3.4
Belize,1.1,7,-0.2,2.3,0.1,3.2,0.7,5.7,1.3,8
Benin,5,6.7,5.7,5.2,5.3,8.3,4.7,6.9,4.6,6.6
Bermuda,-1,5.5,-1.7,-8.6,-0.7,1.1,-6.7,3.6,-1.1,6.1
Bhutan,4.4,4.8,3.2,0.4,3,3.2,1.9,3.9,6.6,6.8
Bolivia,3.6,3.6,4.4,2.4,2.6,3.6,3.4,5.3,4.1,4.2
Bosnia and Herzegovina,2.3,3.9,0.8,-1.3,2.1,2,3.1,3.1,2,5.1
Botswana,3.3,4.3,0.4,0.6,1.3,3.6,0.1,4.1,4.8,4.7
Brazil,0.1,3.5,3,3.5,-1.4,2.6,-2,1,0.4,3.8
Brunei Darussalam,-0.2,0.3,1.5,-1.3,-1,-1.8,11.8,5.2,1.3,3.8
Bulgaria,1.9,4,1.3,-0.6,1,1.7,..,..,2,5.4
Burkina Faso,5.4,3.7,2.8,3.7,6.8,-1.3,4.2,3.3,5.8,6
Burundi,3.4,3.1,1,2,3.3,2.5,3.7,0.9,4.9,4.7
Cabo Verde,1.6,9,0.5,-2.9,-1.4,3.7,1.4,8.1,1.7,9.1
Cambodia,7.3,4.8,1.2,1,11.8,7.7,9.6,9.7,7,3.4
Cameroon,4.4,3.5,3.7,3,3.5,2.9,3.9,4,4.3,4
Canada,1.7,3.2,2.7,0.5,1.4,2,0.9,1.5,2,3.7
Cayman Islands,2.4,5.5,3.4,0.2,2.9,4,3.4,1.1,2.2,5.5
Central African Republic,-1.8,0.8,-15.2,25.2,-4.4,1.6,-3.1,4,2.5,-6.4
Chad,2.2,3.3,4.4,3,0.2,1.7,8.4,1,1.4,4.3
Channel Islands,0.2,6.2,..,..,..,..,..,..,..,..
Chile,2.3,3.5,2,1.6,1.4,0.8,1.6,1.8,2.6,5.4
China,7,5.3,3.7,4.6,6.4,4.7,..,..,7.9,5.7
"Hong Kong SAR, China",2,1.6,-2.5,-6.4,1.6,4.5,-0.4,2.4,1.9,1.5
"Macao SAR, China",-2.8,17.5,..,..,0.6,1,..,..,-2.6,17.8
Colombia,2.8,4.8,3.6,2.6,1.1,2.8,1.1,3.7,3.6,5.5
Comoros,2.8,2.7,4.7,0.8,-1.5,8.2,..,..,2.6,3
"Congo, Dem. Rep.",5.2,7.9,3.1,2,8.1,12.7,5.2,3.7,5,5.6
"Congo, Rep.",-0.8,1.7,3.4,3,-2,-0.6,-0.1,..,0.7,5
