Rank_2024,Rank_2023,Company,Notes,Country,Arms revenues_2024,Arms revenues_2023,Total revenues_2024,Arms revenues as a % of total revenues (2024),Arms revenues 2023 (constant 2024 prices) note (e),
1,1,Lockheed Martin Corp.,,United States,64650,60810,71040,91%,62630,
2,2,RTX,,United States,43600,40660,80740,54%,41870,
3,3,Northrop Grumman Corp.,,United States,37850,35570,41030,92%,36630,
4,6,BAE Systems,f,United Kingdom,33790,29908,35400,95%,31600,
5,5,General Dynamics Corp.,,United States,33630,30200,47720,70%,31100,
6,4,Boeing,,United States,30550,31100,66520,46%,32030,
7,7,Rostec,g,Russia,27120,21680,38890,70%,21450,
8,9,AVIC,h,China,20320,20850,81290,25%,20590,
9,8,CETC,,China,18920,21370,55230,34%,21110,
10,11,L3Harris Technologies,,United States,16210,14760,21330,76%,15200,
11,10,NORINCO,,China,13970,20560,61580,23%,20310,
12,13,Leonardo,,Italy,13830,12390,19210,72%,12560,
13,12,Airbus,i,Trans-European,13370,12890,74890,18%,13210,
14,15,CSSC,h,China,12330,11480,49630,25%,11340,
15,16,Thales,,France,11800,10350,22260,53%,10600,
16,17,HII,,United States,10280,10300,11540,89%,10610,
17,14,CASC,h,China,10230,12350,34100,30%,12200,
18,19,Leidos,,United States,9370,8730,16660,56%,8990,
19,23,Amentum,j,United States,8330,7959,13860,60%,8200,
20,26,Rheinmetall,,Germany,8240,5480,10550,78%,5620,
21,24,Hanwha Group,,South Korea,7970,5710,64100,12%,5600,
22,20,Booz Allen Hamilton,,United States,7810,6900,11980,65%,7110,
23,21,Rolls-Royce,,United Kingdom,7200,6290,22810,32%,6650,
24,25,CACI International,,United States,6510,5700,8630,75%,5870,
25,27,Elbit Systems,,Israel,6280,5380,6830,92%,5530,
26,22,AECC,,China,6260,5780,. .,. .,5710,
27,29,Honeywell International,k,United States,6090,5609.4,38500,16%,5780,
28,35,Saab,,Sweden,5550,4360,6030,92%,4480,
29,33,Safran,,France,5320,4510,29550,18%,4620,
30,30,MBDA,i,Trans-European,5260,4760,5310,99%,4880,
31,34,Israel Aerospace Industries,,Israel,5190,4490,6110,85%,4610,
32,39,Mitsubishi Heavy Industries,,Japan,5030,3890,33190,15%,3680,
33,31,GE Aerospace,l,United States,4890,4710,38700,13%,4850,
34,41,Rafael,,Israel,4700,3730,4800,98%,3830,
35,36,KBR,,United States,4680,4230,7740,60%,4360,
36,32,Naval Group,,France,4660,4550,4710,99%,4660,
37,-,EDGE Group,m,United Arab Emirates,4660,. .,4900,95%,. .,
38,28,CSGC,,China,4580,5130,44680,10%,5070,
39,37,Babcock International Group,,United Kingdom,4570,3970,6170,74%,4190,
40,45,Dassault Aviation Group,,France,4290,3220,6740,64%,3300,
41,38,United Shipbuilding Corp.,h,Russia,4110,3900,4960,83%,3860,
42,43,KNDS,i,Trans-European,4110,3510,4110,100%,3600,
43,40,Science Applications International Corp.,,United States,3890,3870,7480,52%,3990,
44,42,Hindustan Aeronautics,,India,3810,3710,4010,95%,3820,
45,44,V2X,,United States,3760,3410,4320,87%,3510,
46,81,Czechoslovak Group,,Czechia,3630,1270,4340,84%,1240,
47,52,ASELSAN,,T�rkiye,3470,2440,3660,95%,2790,
48,48,Textron,,United States,3290,2940,13700,24%,3030,
49,51,TransDigm Group,,United States,3180,2570,7940,40%,2650,
50,46,NCSIST,,Taiwan,3110,3220,3190,97%,3190,
51,60,PGZ,,Poland,3040,2060,3380,90%,2270,
52,57,JSC Ukrainian Defense Industry,,Ukraine,3010,2210,3010,100%,2140,
53,49,Fincantieri,,Italy,2990,2820,8790,34%,2860,
54,50,Parker-Hannifin Corp.,,United States,2740,2600,19850,14%,2680,
55,61,Kawasaki Heavy Industries,,Japan,2650,2060,14060,19%,1950,
56,47,Bechtel Corp.,h,United States,2640,2970,23000,11%,3060,
57,56,ST Engineering,,Singapore,2620,2230,8440,31%,2300,
58,64,Bharat Electronics,,India,2470,1940,2750,90%,2000,
59,55,Serco Group,,United Kingdom,2420,2280,6760,36%,2410,
60,73,LIG Nex1,,South Korea,2400,1770,2400,100%,1740,
61,63,ThyssenKrupp,,Germany,2290,1990,37900,6%,2040,
62,70,Hensoldt,,Germany,2240,1850,2420,93%,1900,
63,72,Parsons Corp.,,United States,2220,1840,6750,33%,1890,
64,68,Fujitsu,,Japan,2190,1850,23440,9%,1750,
65,75,Turkish Aerospace Industries,,T�rkiye,2160,1700,2700,80%,1940,
66,62,Oshkosh Corp.,,United States,2160,2000,10730,20%,2060,
67,80,Diehl,,Germany,2110,1350,5080,42%,1380,
68,67,BWX Technologies,,United States,2070,1890,2700,77%,1950,
69,59,Teledyne Technologies,,United States,2050,2110,5670,36%,2170,
70,54,Korea Aerospace Industries,,South Korea,2010,2290,2640,76%,2250,
71,69,QinetiQ,,United Kingdom,1950,1850,2470,79%,1950,
72,65,Sierra Nevada Corp.,h,United States,1940,1930,2000,97%,1990,
73,66,Baykar,,T�rkiye,1900,1900,2000,95%,2170,
74,58,General Atomics,h,United States,1890,2120,. .,. .,2180,
75,74,Eaton,,United States,1870,1710,24880,8%,1760,
76,94,Mitsubishi Electric Corp.,,Japan,1850,1050,36460,5%,990,
77,106,SpaceX,h,United States,1810,860,. .,. .,890,
78,76,Curtiss-Wright Corp.,,United States,1790,1580,3120,57%,1630,
79,77,Kongsberg Gruppen,,Norway,1780,1500,4550,39%,1520,
80,84,Hyundai Rotem,,South Korea,1730,1210,3210,54%,1190,
81,78,Amphenol Corp.,,United States,1670,1380,15220,11%,1420,
82,71,CNNC,h,China,1670,1840,38750,4%,1820,
83,88,NEC Corp.,,Japan,1540,1140,22600,7%,1080,
84,96,United Launch Alliance,h,United States,1540,1030,. .,. .,1060,
85,79,CAE,,Canada,1460,1370,3440,42%,1380,
86,83,Moog,,United States,1400,1240,3610,39%,1280,
87,92,Roketsan,,T�rkiye,1390,1080,1390,100%,1230,
88,85,Navantia,,Spain,1270,1190,1650,77%,1220,
89,95,HEICO Corp.,,United States,1250,1040,3860,32%,1070,
90,86,Melrose Industries,,United Kingdom,1240,1190,4430,28%,1260,
